quote,author,category
"I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?","Stephanie  Lennox, I Don't Remember You","fighting, funny, humour, husband, inspirational, love, lover, relationships, romance, spiritual, sweet, wife"
I want to be in a relationship where you telling me you love me is just a ceremonious validation of what you already show me.,"Steve Maraboli, Life, the Truth, and Being Free","action, being-loved, inspirational, life, love, relationships"
"In your light I learn how to love. In your beauty, how to make poems. You dance inside my chest where no-one sees you, but sometimes I do, and that sight becomes this art.",Jalaluddin Rumi,love
"The power of a glance has been so much abused in love stories, that it has come to be disbelieved in. Few people dare now to say that two beings have fallen in love because they have looked at each other. Yet it is in this way that love begins, and in this way only.","Victor Hugo, Les Misérables","attraction, love"
True love is usually the most inconvenient kind.,"Kiera Cass, The Selection","inconvenient, love, relationship, true-love"
"You’ll get over it…” It’s the clichés that cause the trouble. To lose someone you love is to alter your life for ever. You don’t get over it because ‘it” is the person you loved. The pain stops, there are new people, but the gap never closes. How could it? The particularness of someone who mattered enough to grieve over is not made anodyne by death. This hole in my heart is in the shape of you and no-one else can fit it. Why would I want them to?","Jeanette Winterson, Written on the Body","loss, love"
"Watch out for intellect,because it knows so much it knows nothingand leaves you hanging upside down,mouthing knowledge as your heartfalls out of your mouth.","Anne Sexton, The Complete Poems","intellect, love, poetry"
"We're staying together,"" he promised. ""You're not getting away from me. Never again.","Rick Riordan, The Mark of Athena","annabeth-chase, emotion, heartbreak, love, percy-jackson"
"The sunlight claps the earth, and the moonbeams kiss the sea: what are all these kissings worth, if thou kiss not me?",Percy Bysshe Shelley,"kiss, love, nature"
"Even After All this timeThe Sun never says to the Earth,""You owe me.""LookWhat happensWith a love like that,It lights the whole sky.",,"life, love, sky, sun"
"When I say it's you I like, I'm talking about that part of you that knows that life is far more than anything you can ever see or hear or touch. That deep part of you that allows you to stand for those things without which humankind cannot survive. Love that conquers hate, peace that rises triumphant over war, and justice that proves more powerful than greed.",Fred Rogers,"friends, friendship, love, peace"
To lose balance sometimes for love is part of living a balancedlife.,"Elizabeth Gilbert, Eat, pray, love: one woman's search for everything",love
"You know it's never fifty-fifty in a marriage. It's always seventy-thirty, or sixty-forty. Someone falls in love first. Someone puts someone else up on a pedestal. Someone works very hard to keep things rolling smoothly; someone else sails along for the ride.","Jodi Picoult, Mercy","inequality, love, marriage"
"Therefore, dear Sir, love your solitude and try to sing out with the pain it causes you. For those who are near you are far away... and this shows that the space around you is beginning to grow vast.... be happy about your growth, in which of course you can't take anyone with you, and be gentle with those who stay behind; be confident and calm in front of them and don't torment them with your doubts and don't frighten them with your faith or joy, which they wouldn't be able to comprehend. Seek out some simple and true feeling of what you have in common with them, which doesn't necessarily have to alter when you yourself change again and again; when you see them, love life in a form that is not your own and be indulgent toward those who are growing old, who are afraid of the aloneness that you trust.... and don't expect any understanding; but believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.","Rainer Maria Rilke, Letters to a Young Poet","aloneness, change, common-ground, faith, love, loved-ones, relationships, solitude"
"If you love something set it free, but don't be surprised if it comes back with herpes.",Chuck Palahniuk,"humor, love"
My wish is that you may be loved to the point of madness.,"André Breton, What is Surrealism?: Selected Writings","love, madness"
"The things we love destroy us every time, lad. Remember that.","George R.R. Martin, A Game of Thrones","love, mormont"
"Throw your dreams into space like a kite, and you do not know what it will bring back, a new life, a new friend, a new love, a new country.",Anaïs Nin,"dreams, life, love"
"I sought to hear the voice of God and climbed the topmost steeple, but God declared: ""Go down again - I dwell among the people.",John Henry Newman,"god, inspirational, love"
"You think because he doesn't love you that you are worthless. You think that because he doesn't want you anymore that he is right -- that his judgement and opinion of you are correct. If he throws you out, then you are garbage. You think he belongs to you because you want to belong to him. Don't. It's a bad word, 'belong.' Especially when you put it with somebody you love. Love shouldn't be like that. Did you ever see the way the clouds love a mountain? They circle all around it; sometimes you can't even see the mountain for the clouds. But you know what? You go up top and what do you see? His head. The clouds never cover the head. His head pokes through, beacuse the clouds let him; they don't wrap him up. They let him keep his head up high, free, with nothing to hide him or bind him. You can't own a human being. You can't lose what you don't own. Suppose you did own him. Could you really love somebody who was absolutely nobody without you? You really want somebody like that? Somebody who falls apart when you walk out the door? You don't, do you? And neither does he. You're turning over your whole life to him. Your whole life, girl. And if it means so little to you that you can just give it away, hand it to him, then why should it mean any more to him? He can't value you more than you value yourself.",Toni Morrison,"emotion, love, self-respect, value"
"The bond forged between us was not one that could be broken by absence, distance, or time. And no matter how much more special or beautiful or brilliant or perfect than me he might be, he was as irreversibly altered as I was. As I would always belong to him, so would he always be mine.","Stephenie Meyer, New Moon","bella, edward, love"
"Love is . . . Being happy for the other person when they are happy, Being sad for the person when they are sad, Being together in good times, And being together in bad times.LOVE IS THE SOURCE OF STRENGTH.Love is . . . Being honest with yourself at all times, Being honest with the other person at all times, Telling, listening, respecting the truth, And never pretending.LOVE IS THE SOURCE OF REALITY.Love is . . . An understanding so complete that you feel as if you are a part of the other person, Accepting the other person just the way they are, And not trying to change them to be something else.LOVE IS THE SOURCE OF UNITY.Love is . . . The freedom to pursue your own desires while sharing your experiences with the other person, The growth of one individual alongside of and together with the growth of another individual. LOVE IS THE SOURCE OF SUCCESS.Love is . . . The excitement of planning things together, The excitement of doing things together.LOVE IS THE SOURCE OF THE FUTURE.Love is . . . The fury of the storm, The calm in the rainbow.LOVE IS THE SOURCE OF PASSION.Love is . . . Giving and taking in a daily situation, Being patient with each other's needs and desires.LOVE IS THE SOURCE OF SHARING.Love is . . . Knowing that the other person will always be with you regardless of what happens, Missing the other person when they are away but remaining near in heart at all times.LOVE IS THE SOURCE OF SECURITY.LOVE IS . . . THE SOURCE OF LIFE!",Susan Polis Schutz,love
"If we have no peace, it is because we have forgotten that we belong to each other.",Mother Teresa,"compassion, connecting, humanity, inspirational, love, sharing"
"sometimes you don't need a goal in life, you don't need to know the big picture. you just need to know what you're going to do next!","Sophie Kinsella, The Undomestic Goddess","life, love, shopaholic, sophie"
"We are who we are, be­cause of those we choose to love and be­cause of those who love us.","Kate Mosse, The Winter Ghosts",love
"I won't ever leave you, even though you're always leaving me.","Audrey Niffenegger, The Time Traveler's Wife","heartbreak, love"
"This is what we call love. When you are loved, you can do anything in creation. When you are loved, there's no need at all to understand what's happening, because everything happens within you.","Paulo Coelho, The Alchemist",love
"I love you as certain dark things are loved, secretly, between the shadow and the soul.","Stephanie Perkins, Anna and the French Kiss","etienne-st-clair, love, secret"
"The only calibration that counts is how much heart people invest, how much they ignore their fears of being hurt or caught out or humiliated. And the only thing people regret is that they didn't live boldly enough, that they didn't invest enough heart, didn't love enough. Nothing else really counts at all.","Ted Hughes, Letters of Ted Hughes","fear, heart, love, regret"
"We are not trapped or locked up in these bones. No, no. We are free to change. And love changes us. And if we can love one another, we can break open the sky.","Walter Mosley, Blue Light","change, growth, love"
"Sometimes when I'm alone, I take the pearl from where it lives in my pocket and try to remember the boy with the bread, the strong arms that warded off nightmares on the train, the kisses in the arena.","Suzanne Collins, Mockingjay","katniss, love, mockingjay, peeta, romance"
"Ok. You fuck me, then snub me. You love me, you hate me. You show me a sensitive side, then you turn into a total asshole. Is this a pretty accurate description of our relationship.","Chuck Palahniuk, Fight Club",love
You have to kiss a lot of frogs before you find your prince,"E.L. James, Fifty Shades of Grey",love
"I'm about to make a wild, extreme and severe relationship rule: the word busy is a load of crap and is most often used by assholes. The word ""busy"" is the relationship Weapon of Mass Destruction. It seems like a good excuse, but in fact in every silo you uncover, all you're going to find is a man who didn't care enough to call. Remember men are never to busy to get what they want.",Greg Behrendt,"behrendt, call, dating, faith, greg, he-s-not-just-into-you, love, marriage, romance, true, true-love, truth"
"About all you can do in life is be who you are. Some people will love you for you. Most will love you for what you can do for them, and some won't like you at all.",Rita Mae Brown,"be-yourself, individuality, love"
"For my part, I prefer my heart to be broken. It is so lovely, dawn-kaleidoscopic within the crack.",D.H. Lawrence,"broken-heart, d-h-lawrence, love, pomegranate"
"The world was collapsing, and the only thing that really mattered to me was that she was alive.","Rick Riordan, The Last Olympian","infatuation, love, obsession"
"When I look in the mirror, I know I’m looking at someone who isn’t sure she deserves to be loved at all.","Nicholas Sparks, Dear John","life, love"
"I was always hungry for love. Just once, I wanted to know what it was like to get my fill of it -- to be fed so much love I couldn't take any more. Just once. ","Haruki Murakami, Norwegian Wood",love
"To me, “FEARLESS” is not the absence of fear. It’s not being completely unafraid. To me, FEARLESS is having fears. FEARLESS is having doubts. Lots of them. To me, FEARLESS is living in spite of those things that scare you to death. FEARLESS is falling madly in love again, even though you’ve been hurt before. FEARLESS is walking into your freshmen year of high school at fifteen. FEARLESS is getting back up and fighting for what you want over and over again… even though every time you’ve tried before, you’ve lost. It’s FEARLESS to have faith that someday things will change. FEARLESS is having the courage to say goodbye to someone who only hurts you, even if you can’t breathe without them. I think it’s FEARLESS to fall for your best friend, even though he’s in love with someone else. And when someone apologizes to you enough times for things they’ll never stop doing, I think it’s FEARLESS to stop believing them. It’s FEARLESS to say “you’re NOT sorry”, and walk away. I think loving someone despite what people think is FEARLESS. I think allowing yourself to cry on the bathroom floor is FEARLESS. Letting go is FEARLESS. Then, moving on and being alright…That’sFEARLESS too. But no matter what love throws at you, you have to believe in it. You have to believe in love stories and prince charmings and happily ever after. That’s why I write these songs. Because I think love is FEARLESS.",Taylor Swift,"fearless, love"
The course of true love never did run smooth.,"William Shakespeare, A Midsummer Night's Dream","love, true-love"
Romance is the glamour which turns the dust of everyday life into a golden haze. ,Elinor Glyn,"inspiration, love, romance"
"If there is no love in the world, we will make a new world, and we will give it walls, and we will furnish it with soft, red interiors, from the inside out, and give it a knocker that resonates like a diamond falling to a jeweller's felt so that we should never hear it. Love me, because love doesn't exist, and I have tried everything that does.","Jonathan Safran Foer, Everything Is Illuminated","life, love"
"In a perfect world, you could fuck people without giving them a piece of your heart. And every glittering kiss and every touch of flesh is another shard of heart you’ll never see again.","Neil Gaiman, Fragile Things: Short Fictions and Wonders","love, sex"
The human heart is a strange vessel. Love and hatred can exist side by side.,Scott Westerfeld,love
"For where all love is, the speaking is unnecessary","Diana Gabaldon, Outlander",love
"Someday you're gonna look back on this moment of your life as such a sweet time of grieving. You'll see that you were in mourning and your heart was broken, but your life was changing...",Elizabeth Gilbert,"heartbreak, love, mourning"
"When we meet someone and fall in love, we have a sense that the whole universe is on our side. And yet if something goes wrong, there is nothing left! How is it possible for the beauty that was there only minutes before to vanish so quickly? Life moves very fast. It rushes from heaven to hell in a matter of seconds.","Paulo Coelho, Eleven Minutes",love
Spending time with you showed me what I’ve been missing in my life.,"Nicholas Sparks, The Choice",love
"In the moment when I truly understand my enemy, understand him well enough to defeat him, then in that very moment I also love him. I think it’s impossible to really understand somebody, what they want, what they believe, and not love them the way they love themselves. And then, in that very moment when I love them.... I destroy them.","Orson Scott Card, Ender's Game","enemy, epiphany, hate, love, understanding"
sex is the consolation you have when you can't have love,Gabriel García Márquez,"desire, loneliness, love, lust, passion, sex"
It is possible to be in love with you just because of who you are.,"Maggie Stiefvater, Shiver","grace-brisbane, love, sam-roth, shiver"
The music in his laughter had a way of rounding off the missing notes in her soul.,"Gloria Naylor, Linden Hills",love
"If he loved with all the powers of his puny being, he couldn't love as much in eighty years as I could in a day.","Emily Brontë, Wuthering Heights","ardor, classic, heathcliff, love"
"O Romeo, Romeo, wherefore art thou Romeo? Deny thy father refuse thy name, thou art thyself thou not a montegue, what is montegue? tis nor hand nor foot nor any other part belonging to a man What is in a name? That which we call a rose by any other name would smell as sweet, So Romeo would were he not Romeo called retain such dear perfection to which he owes without that title, Romeo, Doth thy name! And for that name which is no part of thee, take all thyself.",William Shakespeare,"love, romeo-and-juliet"
"Even more, I had never meant to love him. One thing I truly knew - knew it in the pit of my stomach, in the center of my bones, knew it from the crown of my head to the soles of my feet, knew it deep in my empty chest - was how love gave someone the power to break you","Stephenie Meyer, Twilight","bella-swan, love"
I bet you could sometimes find all the mysteries of the universe in someone's hand.,"Benjamin Alire Sáenz, Aristotle and Dante Discover the Secrets of the Universe","answers, love, true, universe"
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.","Roy T. Bennett, The Light in the Heart","authentic-living, being-positive, blessed, compassion, hate, inspiration, inspirational, inspirational-quotes, judgment, less-more, life, life-purpose, life-quotes, living, love, mind, motivation, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile, smiles, spirituality, stress, stressed, worry, worrying"
Each of us is born with a box of matches inside us but we can't strike them all by ourselves,"Laura Esquivel, Like Water for Chocolate","fire, love, lust, matches"
Yet each man kills the thing he lovesBy each let this be heardSome do it with a bitter lookSome with a flattering wordThe coward does it with a kissThe brave man with a sword,"Oscar Wilde, The Ballad Of Reading Gaol","1897, betrayal, bravery, courage, love, remorse"
"I know that's what people say-- you'll get over it. I'd say it, too. But I know it's not true. Oh, youll be happy again, never fear. But you won't forget. Every time you fall in love it will be because something in the man reminds you of him.","Betty  Smith, A Tree Grows in Brooklyn","happiness, lost-love, love"
"Love is a decision, it is a judgment, it is a promise. If love were only a feeling, there would be no basis for the promise to love each other forever. A feeling comes and it may go. How can I judge that it will stay forever, when my act does not involve judgment and decision.","Erich Fromm, The Art of Loving","decision, feeling, fromm, love"
"But love is always new. Regardless of whether we love once, twice, or a dozen times in our life, we always face a brand-new situation. Love can consign us to hell or to paradise, but it always takes us somewhere. We simply have to accept it, because it is what nourishes our existence. If we reject it, we die of hunger, because we lack the courage to stretch out a hand and pluck the fruit from the branches of the tree of life. We have to take love where we find it, even if that means hours, days, weeks of disappointment and sadness.The moment we begin to seek love, love begins to seek us. And to save us.","Paulo Coelho, By the River Piedra I Sat Down and Wept",love
I almost wish we were butterflies and liv'd but three summer days - three such days with you I could fill with more delight than fifty common years could ever contain.,"John Keats, Bright Star: Love Letters and Poems of John Keats to Fanny Brawne","butterflies, days, fanny-brawne, fifty-common-years, letter, love, summer, three"
I'd learned that some things are best kept secret.,"Nicholas Sparks, Dear John","life, love, secrets"
"You’re in a car with a beautiful boy, and he won’t tell you that he loves you, but he loves you. And you feel like you’ve done something terrible, like robbed a liquor store, or swallowed pills, or shoveled yourself a grave in the dirt, and you’re tired. You’re in a car with a beautiful boy, and you’re trying not to tell him that you love him, and you’re trying to choke down the feeling, and you’re trembling, but he reaches over and he touches you, like a prayer for which no words exist, and you feel your heart taking root in your body, like you’ve discovered something you didn’t even have a name for.",Richard Siken,love
"Don't waste your love on somebody, who doesn't value it.","William Shakespeare, Romeo and Juliet","love, romeo-and-juliet, values, waste"
"And next time you're planning to injure yourself to get me attention, just remember that a little sweet talk works wonders.","Cassandra Clare, City of Bones","clary, clary-and-jace, humor, jace, jace-and-clary, love"
"I want to be the friend you fall hopelessly in love with. The one you take into your arms and into your bed and into the private world you keep trapped in your head. I want to be that kind of friend. The one who will memorize the things you say as well as the shape of your lips when you say them. I want to know every curve, every freckle, every shiver of your body. I want to know where to touch you, I want to know how to touch you. I want to know convince you to design a smile just for me. Yes, I do want to be your friend. I want to be your best friend in the entire world.","Tahereh Mafi, Unravel Me",love
"Love is how you stay alive, even after you are gone.",Mitch Albom,"death, immortality, love"
"If only she could be so oblivious again, to feel such love without knowing it, mistaking it for laughter. ","Markus Zusak, The Book Thief","childhood, laughter, love, oblivious"
"I am not an angel,' I asserted; 'and I will not be one till I die: I will be myself. Mr. Rochester, you must neither expect nor exact anything celestial of me - for you will not get it, any more than I shall get it of you: which I do not at all anticipate.","Charlotte Brontë, Jane Eyre","character, empowerment, flaws, freedom, gender, ideal-woman, identity, image, independence, integrity, love, men, realism, romance, self-awareness, self-determination, women"
"love, I've come to understand is more than three words mumbled before bedtime.",Nicholas Sparks,"love, the-meaning-of-love"
It's not how much we give but how much love we put into giving.,Mother Teresa,"charity, giving, love"
The highest function of love is that it makes the loved one a unique and irreplaceable being.,"Tom Robbins, Jitterbug Perfume","logic, love"
I know enough to know that no woman should ever marry a man who hated his mother.,"Martha Gellhorn, Selected Letters","ernest-hemingway, feminism, hate, love, marriage, married-life, matrimony, men, mothers, psychology, relationships, sons, women"
"We are told that people stay in love because of chemistry, or because they remain intrigued with each other, because of many kindnesses, because of luck. But part of it has got to be forgiveness and gratefulness. ",Ellen Goodman,"forgiveness, gratefulness, love"
"NO. No no no. I don't want to screw you. I just love you. When did who you want to screw become the whole game? Since when is the person you want to screw the only person you get to love? It's so stupid, Tiny! I mean, Jesus, who even gives a fuck about sex?! People act like it's the most important thing humans do, but come on. How can our sentient fucking lives revolve around something slugs can do. I mean, who you want to screw and whether you screw them? Those are important questions, I guess. But they're not that important. You know what's important? Who would you die for? Who do you wake up at five forty-five in the morning for even though you don't even know why he needs you? Whose drunken nose would you pick?!","John Green, Will Grayson, Will Grayson","love, sexuality"
"And what would humans be without love?""RARE, said Death.","Terry Pratchett, Sourcery","death, love"
"Of course you can have a true Shadowhunter name,"" Will said. ""You can have mine.""Tessa stared at him, all black and white against the black-and-white snow and stone. ""Your name?""Will took a step toward her, till they stood face-to-face. Then he reached to take her hand and slid off her glove, which he put into his pocket. He held her bare hand in his, his fingers curved around hers. His hand was warm and callused, and his touch made her shiver. His eyes were steady and blue; they were everything that Will was: true and tender, sharp and witty, loving and kind. ""Marry me,"" he said. ""Marry me, Tess. Marry me and be called Tessa Herondale. Or be Tessa Gray, or be whatever you wish to call yourself, but marry me and stay with me and never leave me, for I cannot bear another day of my life to go by that does not have you in it.","Cassandra Clare, Clockwork Princess","clockwork-princess, love, marriage-proposal, tessa-gray, will-herondale"
"I have feelings too. I am still human. All I want is to be loved, for myself and for my talent. ",Marilyn Monroe,love
"Afterward, I had the last laugh. I made an air bubble at the bottom of the lake. Our friends kept waiting for us to come up, but hey-when you are the son of Poseidon, you don't have to hurry. And it was pretty much the best underwater kiss of all time.",Rick Riordan,"cute, isaiat, kiss, love, mart, percy-jackson, underwater"
Love is not the absence of logicbut logic examined and recalculatedheated and curved to fitinside the contours of the heart,"Tammara Webber, Easy","logic, love"
True love is not so much a matter of romance as it is a matter of anxious concern for the well-being of one's companion.,"Gordon B. Hinckley, Stand a Little Taller","inspirational, love"
"Hearts are breakable,"" Isabelle said. ""And I think even when you heal, you're never what you were before"".","Cassandra Clare, City of Fallen Angels","broken-hearted, healing, heartbreak, inspirational, love"
"Just because you're beautiful and perfect, it's made you conceited.","William Goldman, The Princess Bride","absurd, beauty, conceit, humor, love"
Sometimes God allows what he hates to accomplish what he loves.,"Joni Eareckson Tada, The God I Love","faith, god, inspirational, love"
"It was many and many a year ago,In a kingdom by the sea,That a maiden there lived whom you may knowBy the name of ANNABEL LEE;And this maiden she lived with no other thoughtThan to love and be loved by me.I was a child and she was a child,In this kingdom by the sea;But we loved with a love that was more than love-I and my Annabel Lee;With a love that the winged seraphs of heavenCoveted her and me.And this was the reason that, long ago,In this kingdom by the sea,A wind blew out of a cloud, chillingMy beautiful Annabel Lee;So that her highborn kinsman cameAnd bore her away from me,To shut her up in a sepulchreIn this kingdom by the sea.The angels, not half so happy in heaven,Went envying her and me-Yes!- that was the reason (as all men know,In this kingdom by the sea)That the wind came out of the cloud by night,Chilling and killing my Annabel Lee.But our love it was stronger by far than the loveOf those who were older than we-Of many far wiser than we-And neither the angels in heaven above,Nor the demons down under the sea,Can ever dissever my soul from the soulOf the beautiful Annabel Lee.For the moon never beams without bringing me dreamsOf the beautiful Annabel Lee;And the stars never rise but I feel the bright eyesOf the beautiful Annabel Lee;And so, all the night-tide, I lie down by the sideOf my darling- my darling- my life and my bride,In the sepulchre there by the sea,In her tomb by the sounding sea.",Edgar Allan Poe,"beautiful, lost-love, love"
"When love beckons to you follow him, Though his ways are hard and steep. And when his wings enfold you yield to him, Though the sword hidden among his pinions may wound you. And when he speaks to you believe in him, Though his voice may shatter your dreams as the north wind lays waste the garden. For even as love crowns you so shall he crucify you. Even as he is for your growth so is he for your pruning. Even as he ascends to your height and caresses your tenderest branches that quiver in the sun, So shall he descend to your roots and shake them in their clinging to the earth......But if in your fear you would seek only love's peace and love's pleasure, Then it is better for you that you cover your nakedness and pass out of love's threshing-floor, Into the seasonless world where you shall laugh, but not all of your laughter, and weep, but not all of your tears. Love gives naught but itself and takes naught but from itself.Love possesses not nor would it be possessed; For love is sufficient unto love. And think not you can direct the course of love, if it finds you worthy, directs your course. Love has no other desire but to fulfil itself.""But if you love and must needs have desires, let these be your desires: To melt and be like a running brook that sings its melody to the night. To know the pain of too much tenderness. To be wounded by your own understanding of love; And to bleed willingly and joyfully.","Kahlil Gibran, Le Prophète","love, marriage"
You are the one girl that made me risk eveything for a future worth having.,"Simone Elkeles, Perfect Chemistry",love
"By the time you swear you're his,Shivering and sighing.And he vows his passion is,Infinite, undying.Lady make note of this --One of you is lying.",Dorothy Parker,"courtship, cynicism, love, lying, passion"
"Anxiety is love's greatest killer. It makes others feel as you might when a drowning man holds on to you. You want to save him, but you know he will strangle you with his panic.",Anaïs Nin,"anxiety, love, saveing"
"I'll fight it. I'll fight it for you. Don't you worry about me, Hazel Grace. I'm okay. I'll find a way to hang around and annoy you for a long time.","John Green, The Fault in Our Stars","augustus-waters, bittersweet, hazel-grace, love, sad, sweet, the-fault-in-our-stars"
That's what people do who love you. They put their arms around you and love you when you're not so lovable.,Deb Caletti,"family, friends, hugs, life, lovable, love, people"
Let yourself be drawn by the stronger pull of that which you truly love.,Jalaluddin Rumi,"be-yourself, love, self-actualization"
The heart is the toughest part of the body. Tenderness is in the hands.,"Carolyn Forché, The Country Between Us","inspirational, love"
"Good night, good night! parting is such sweet sorrow, That I shall say good night till it be morrow.","William Shakespeare, Romeo and Juliet","infatuation, love, passion"
"She was my dream. She made me who I am, and holding her in my arms was more natural to me than my own heartbeat. I think about her all the time. Even now, when I'm sitting here, I think about her. There could never have been another.","Nicholas Sparks, The Notebook",love
The soul is healed by being with children.,Fyodor Dostoyevsky,"children, healing, humility, inspiration, love, openness, society"
"People like to say love is unconditional, but it's not, and even if it was unconditional, it's still never free. There's always an expectation attached. They always want something in return. Like they want you to be happy or whatever and that makes you automatically responsible for their happiness because they won't be happy unless you are ... I just don't want that responsibility.","Katja Millay, The Sea of Tranquility","happiness, love, relationships, responsibility, unconditional-love"
Love has nothing to do with what you are expecting to get - only with what you are expecting to give - which is everything,"Katharine Hepburn, Me: Stories of My Life",love
"I wondered what happened when you offered yourself to someone, and they opened you, only to discover you were not the gift they expected and they had to smile and nod and say thank you all the same.","Jodi Picoult, My Sister's Keeper","dating, julia-romano, love, unrequited"
"When it's gone, you'll know what a gift love was. You'll suffer like this. So go back and fight to keep it.","Ian McEwan, Enduring Love","lost-love, love"
"Romance is thinking about your significant other, when you are supposed to be thinking about something else.",Nicholas Sparks,"love, nicholas-sparks, romance"
If you're a bird... I'm a bird...,"Nicholas Sparks, The Notebook",love
I told you. You don't love someone because of their looks or their clothes or their car. You love them because they sing a song only your heart can understand.,L.J. Smith,"destiny, james, love, nightworld, soulmate"
"True love comes quietly, without banners or flashing lights. If you hear bells, get your ears checked.",Erich Segal,love
"The really important kind of freedom involves attention, and awareness, and discipline, and effort, and being able truly to care about other people and to sacrifice for them, over and over, in myriad petty little unsexy ways, every day.","David Foster Wallace, This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life","awareness, caring, discipline, freedom, love, people, sacrifice"
"Catherine Earnshaw, may you not rest as long as I am living. You said I killed you--haunt me then. The murdered do haunt their murderers. I believe--I know that ghosts have wandered the earth. Be with me always--take any form--drive me mad. Only do not leave me in this abyss, where I cannot find you! Oh, God! It is unutterable! I cannot live without my life! I cannot live without my soul!","Emily Brontë, Wuthering Heights","catherine, haunting, heathcliff, love, malediction, restlessness"
"If you can love someone with your whole heart, even one person, then there's salvation in life. Even if you can't get together with that person.","Haruki Murakami, 1Q84","hope, love"
"Do you think, because I am poor, obscure, plain and little, I am soulless and heartless? You think wrong! - I have as much soul as you, - and full as much heart! And if God had gifted me with some beauty and much wealth, I should have made it as hard for you to leave me, as it is now for me to leave you!","Charlotte Brontë, Jane Eyre","charlotte-bronte, heart, heartbreak, jane-eyre, love, misconceptions, obscurity, parting, plainness, poverty, soul"
"In youth, it was a way I had,To do my best to please.And change, with every passing ladTo suit his theories.But now I know the things I knowAnd do the things I do,And if you do not like me so,To hell, my love, with you.","Dorothy Parker, The Complete Poems of Dorothy Parker","adaptation, change, character, empowerment, love, men, nature, pleasing, self-discovery, self-esteem, self-respect, truthfulness, wisdom, women, youth"
"I was blind and heart broken and didn't want to do anything and Gus burst into my room and shouted, ""I have wonderful news!"" And I was like, ""I don't really want to hear wonderful news right now,"" and Gus said, ""This is wonderful news you want to hear,"" and I asked him, ""Fine, what is it?"" and he said, ""You are going to live a good and long life filled with great and terrible moments that you cannot even imagine yet!","John Green, The Fault in Our Stars","broken-heart, inspirtational, life, love, optimism"
"Let me not to the marriage of true minds Admit impediments. Love is not love Which alters when it alteration finds, Or bends with the remover to remove. O no, it is an ever-fixed mark That looks on tempests and is never shaken; It is the star to every wand'ring barque, Whose worth's unknown, although his height be taken. Love's not Time's fool, though rosy lips and cheeks Within his bending sickle's compass come; Love alters not with his brief hours and weeks, But bears it out even to the edge of doom. If this be error and upon me proved, I never writ, nor no man ever loved.","William Shakespeare, Great Sonnets","love, poetry, shakespeare"
"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You, yourself, as much as anybody in the entire universe, deserve your love and affection.",Sharon Salzberg,"inspiration, life, love, self-acceptance, self-esteem, wisdom"
Love is the extremely difficult realization that something other than oneself is real.,"Iris Murdoch, Existentialists and Mystics Writings on Philosophy and Literature","love, realization"
"I belong to my beloved, and my beloved is mine.","Jamie McGuire, Beautiful Disaster","love, romance"
"Well?"" Ron said finally, looking up at Harry. ""How was it?""Harry considered it for a moment. ""Wet,"" he said truthfully.Ron made a noise that might have indicated jubilation or disgust, it was hard to tell.""Because she was crying,"" Harry continued heavily.""Oh,"" said Ron, his smile faded slightly. ""Are you that bad at kissing?""""Dunno,"" said Harry, who hadn't considered this, and immediately felt rather worried. ""Maybe I am.","J.K. Rowling, Harry Potter and the Order of the Phoenix","dating, harry-potter, kiss, love, ron-weasley"
"Is it possible, in the final analysis, for one human being to achieve perfect understanding of another?We can invest enormous time and energy in serious efforts to know another person, but in the end, how close can we come to that person's essence? We convince ourselves that we know the other person well, but do we really know anything important about anyone?","Haruki Murakami, The Wind-Up Bird Chronicle","essence, friendship, important, love, people, philosophy, possibility, thought"
Someday you'll find someone special again. People who've been in love once usually do. It's in their nature.,"Nicholas Sparks, Message in a Bottle",love
"If You Forget MeI want you to knowone thing.You know how this is:if I lookat the crystal moon, at the red branchof the slow autumn at my window,if I touchnear the firethe impalpable ashor the wrinkled body of the log,everything carries me to you,as if everything that exists,aromas, light, metals,were little boatsthat sailtoward those isles of yours that wait for me.Well, now,if little by little you stop loving meI shall stop loving you little by little.If suddenlyyou forget medo not look for me,for I shall already have forgotten you.If you think it long and mad,the wind of bannersthat passes through my life,and you decideto leave me at the shoreof the heart where I have roots,rememberthat on that day,at that hour,I shall lift my armsand my roots will set offto seek another land.Butif each day,each hour,you feel that you are destined for mewith implacable sweetness,if each day a flowerclimbs up to your lips to seek me,ah my love, ah my own,in me all that fire is repeated,in me nothing is extinguished or forgotten,my love feeds on your love, beloved,and as long as you live it will be in your armswithout leaving mine.",Pablo Neruda,love
"Yours is the light by which my spirit's born: - you are my sun, my moon, and all my stars.",E.E. Cummings,"love, moon, stars, sun"
It's bullshit to think of friendship and romance as being different. They're not. They're just variations of the same love. Variations of the same desire to be close.,"Rachel Cohn, Naomi and Ely's No Kiss List","friendship, love, romance"
